,group,variable,value
0,Turkey,Turkey,0
1,Turkey,Japan,0.976982097
2,Turkey,Thailand,0.969072165
3,Turkey,Philippines,0.963636364
4,Turkey,Indonesia,0.950131234
5,Turkey,Viet Nam,0.944591029
6,Turkey,Malaysia,0.950131234
7,Turkey,Singapore,0.950131234
8,Turkey,Hong Kong,0.950131234
9,Turkey,Taiwan,0.96373057
10,Turkey,India,0.950131234
11,Turkey,Israel,0.938992042
12,Turkey,France,0.966408269
13,Turkey,Italy,0.971722365
14,Turkey,Sweden,0.958333333
15,Turkey,Finland,0.950131234
16,Turkey,Poland,0.944591029
17,Turkey,Denmark,0.955613577
18,Turkey,Netherlands,0.950131234
19,Turkey,Iceland,0.950131234
20,Turkey,Norway,0.938992042
21,Turkey,Portugal,0.936170213
22,Turkey,Greece,0.936170213
23,Turkey,Czech Republic,0.938992042
24,Turkey,Slovakia,0.933333333
25,Turkey,Hungary,0.933333333
26,Turkey,Bulgaria,0.930294906
27,Turkey,Cyprus,0.933333333
28,Turkey,Romania,0.921832884
29,Turkey,Estonia,0.936170213
30,Turkey,Lithuania,0.936170213
31,Turkey,Malta,0.941798942
32,Turkey,Ireland,0.941798942
33,Turkey,United Kingdom,0.938992042
34,Turkey,Latvia,0.941798942
35,Turkey,Belgium,0.930481283
36,Turkey,Luxembourg,0.930481283
37,Turkey,Switzerland,0.936170213
38,Turkey,Austria,0.936170213
39,Turkey,Germany,0.941798942
40,Turkey,Spain,0.96373057
41,Turkey,Brazil,0.966408269
42,Turkey,Guatamala,0.969072165
43,Turkey,Peru,0.979591837
44,Turkey,Ecuador,0.976982097
45,Turkey,Bolivia,0.966408269
46,Turkey,Colombia,0.979591837
47,Turkey,Paraguay,0.974358974
48,Turkey,Chile,0.979591837
49,Turkey,Uruguay,0.971722365
50,Turkey,Argentina,0.969072165
51,Turkey,Dominican Republic,0.974358974
52,Turkey,Costa Rica,0.958333333
53,Turkey,Nicaragua,0.971722365
54,Turkey,Honduras,0.958333333
55,Turkey,El Savador,0.958333333
56,Turkey,Panama,0.969072165
57,Turkey,Mexico,0.96373057
58,Turkey,United States,0.947368421
59,Turkey,Canada,0.944591029
60,Turkey,Australia,0.936170213
61,Turkey,New Zealand,0.941798942
62,Turkey,South Africa,0.938992042
63,Japan,Japan,0
64,Japan,Thailand,0.904109589
65,Japan,Philippines,0.897790055
66,Japan,Indonesia,0.885793872
67,Japan,Viet Nam,0.876404494
68,Japan,Malaysia,0.876404494
69,Japan,Singapore,0.866855524
70,Japan,Hong Kong,0.870056497
71,Japan,Taiwan,0.870056497
72,Japan,India,0.895027624
73,Japan,Israel,0.907103825
74,Japan,France,0.955613577
75,Japan,Italy,0.952879581
76,Japan,Sweden,0.936170213
77,Japan,Finland,0.930481283
78,Japan,Poland,0.930481283
79,Japan,Denmark,0.930481283
80,Japan,Netherlands,0.921832884
81,Japan,Iceland,0.927613941
82,Japan,Norway,0.921832884
83,Japan,Portugal,0.91598916
84,Japan,Greece,0.921832884
85,Japan,Czech Republic,0.910081744
86,Japan,Slovakia,0.907103825
87,Japan,Hungary,0.910081744
88,Japan,Bulgaria,0.909836066
89,Japan,Cyprus,0.910081744
90,Japan,Romania,0.901098901
91,Japan,Estonia,0.91598916
92,Japan,Lithuania,0.913043478
93,Japan,Malta,0.901098901
94,Japan,Ireland,0.91598916
95,Japan,United Kingdom,0.918918919
96,Japan,Latvia,0.924731183
97,Japan,Belgium,0.910081744
98,Japan,Luxembourg,0.913043478
99,Japan,Switzerland,0.921832884
100,Japan,Austria,0.924731183
101,Japan,Germany,0.930481283
102,Japan,Spain,0.96373057
103,Japan,Brazil,0.958333333
104,Japan,Guatamala,0.961038961
105,Japan,Peru,0.969072165
106,Japan,Ecuador,0.966408269
107,Japan,Bolivia,0.961038961
108,Japan,Colombia,0.96373057
109,Japan,Paraguay,0.969072165
110,Japan,Chile,0.979591837
111,Japan,Uruguay,0.969072165
112,Japan,Argentina,0.961038961
113,Japan,Dominican Republic,0.958333333
114,Japan,Costa Rica,0.952879581
115,Japan,Nicaragua,0.947368421
116,Japan,Honduras,0.952879581
117,Japan,El Savador,0.950131234
118,Japan,Panama,0.941798942
119,Japan,Mexico,0.96373057
120,Japan,United States,0.918918919
121,Japan,Canada,0.907103825
122,Japan,Australia,0.907103825
123,Japan,New Zealand,0.907103825
124,Japan,South Africa,0.898071625
125,Thailand,Thailand,0
126,Thailand,Philippines,0.798192771
127,Thailand,Indonesia,0.769230769
128,Thailand,Viet Nam,0.753894081
129,Thailand,Malaysia,0.738170347
130,Thailand,Singapore,0.75
131,Thailand,Hong Kong,0.805970149
132,Thailand,Taiwan,0.84057971
133,Thailand,India,0.863636364
134,Thailand,Israel,0.879551821
135,Thailand,France,0.958333333
136,Thailand,Italy,0.950131234
137,Thailand,Sweden,0.924731183
138,Thailand,Finland,0.927613941
139,Thailand,Poland,0.91598916
140,Thailand,Denmark,0.901098901
141,Thailand,Netherlands,0.907103825
142,Thailand,Iceland,0.898071625
143,Thailand,Norway,0.901098901
144,Thailand,Portugal,0.879551821
145,Thailand,Greece,0.885793872
146,Thailand,Czech Republic,0.879551821
147,Thailand,Slovakia,0.873239437
148,Thailand,Hungary,0.870056497
149,Thailand,Bulgaria,0.876056338
150,Thailand,Cyprus,0.870056497
151,Thailand,Romania,0.843930636
152,Thailand,Estonia,0.873239437
153,Thailand,Lithuania,0.863636364
154,Thailand,Malta,0.853868195
155,Thailand,Ireland,0.882681564
156,Thailand,United Kingdom,0.882681564
157,Thailand,Latvia,0.885793872
158,Thailand,Belgium,0.888888889
159,Thailand,Luxembourg,0.882681564
160,Thailand,Switzerland,0.904109589
161,Thailand,Austria,0.907103825
162,Thailand,Germany,0.918918919
163,Thailand,Spain,0.96373057
164,Thailand,Brazil,0.947368421
165,Thailand,Guatamala,0.961038961
166,Thailand,Peru,0.969072165
167,Thailand,Ecuador,0.96373057
168,Thailand,Bolivia,0.955613577
169,Thailand,Colombia,0.961038961
170,Thailand,Paraguay,0.971722365
171,Thailand,Chile,0.979591837
172,Thailand,Uruguay,0.966408269
173,Thailand,Argentina,0.952879581
174,Thailand,Dominican Republic,0.952879581
175,Thailand,Costa Rica,0.938992042
176,Thailand,Nicaragua,0.930481283
177,Thailand,Honduras,0.941798942
178,Thailand,El Savador,0.944591029
179,Thailand,Panama,0.936170213
180,Thailand,Mexico,0.961038961
181,Thailand,United States,0.876404494
182,Thailand,Canada,0.863636364
183,Thailand,Australia,0.86039886
184,Thailand,New Zealand,0.853868195
185,Thailand,South Africa,0.843930636
186,Philippines,Philippines,0
187,Philippines,Indonesia,0.757009346
188,Philippines,Viet Nam,0.753125
189,Philippines,Malaysia,0.67
190,Philippines,Singapore,0.683168317
191,Philippines,Hong Kong,0.764705882
192,Philippines,Taiwan,0.794561934
193,Philippines,India,0.840116279
194,Philippines,Israel,0.856733524
195,Philippines,France,0.952755906
196,Philippines,Italy,0.944444444
197,Philippines,Sweden,0.909836066
198,Philippines,Finland,0.91280654
199,Philippines,Poland,0.900826446
200,Philippines,Denmark,0.891666667
201,Philippines,Netherlands,0.888579387
202,Philippines,Iceland,0.888579387
203,Philippines,Norway,0.879213483
204,Philippines,Portugal,0.86
205,Philippines,Greece,0.869688385
206,Philippines,Czech Republic,0.846820809
207,Philippines,Slovakia,0.833333333
208,Philippines,Hungary,0.840116279
209,Philippines,Bulgaria,0.859598854
210,Philippines,Cyprus,0.833333333
211,Philippines,Romania,0.8125
212,Philippines,Estonia,0.850144092
213,Philippines,Lithuania,0.840116279
214,Philippines,Malta,0.805389222
215,Philippines,Ireland,0.846820809
216,Philippines,United Kingdom,0.866477273
217,Philippines,Latvia,0.863247863
218,Philippines,Belgium,0.869688385
219,Philippines,Luxembourg,0.853448276
220,Philippines,Switzerland,0.888579387
221,Philippines,Austria,0.894736842
222,Philippines,Germany,0.909836066
223,Philippines,Spain,0.955497382
224,Philippines,Brazil,0.944444444
225,Philippines,Guatamala,0.955497382
226,Philippines,Peru,0.968992248
227,Philippines,Ecuador,0.9609375
228,Philippines,Bolivia,0.952755906
229,Philippines,Colombia,0.958224543
230,Philippines,Paraguay,0.966321244
231,Philippines,Chile,0.976923077
232,Philippines,Uruguay,0.963636364
233,Philippines,Argentina,0.952755906
234,Philippines,Dominican Republic,0.95
235,Philippines,Costa Rica,0.936
236,Philippines,Nicaragua,0.924528302
237,Philippines,Honduras,0.93315508
238,Philippines,El Savador,0.938829787
239,Philippines,Panama,0.93315508
240,Philippines,Mexico,0.955497382
241,Philippines,United States,0.846820809
242,Philippines,Canada,0.816023739
243,Philippines,Australia,0.794561934
244,Philippines,New Zealand,0.808955224
245,Philippines,South Africa,0.783536585
246,Indonesia,Indonesia,0
247,Indonesia,Viet Nam,0.679867987
248,Indonesia,Malaysia,0.625429553
249,Indonesia,Singapore,0.634812287
250,Indonesia,Hong Kong,0.738170347
251,Indonesia,Taiwan,0.795180723
252,Indonesia,India,0.80952381
253,Indonesia,Israel,0.84057971
254,Indonesia,France,0.944591029
255,Indonesia,Italy,0.941798942
256,Indonesia,Sweden,0.918918919
257,Indonesia,Finland,0.904109589
258,Indonesia,Poland,0.895027624
259,Indonesia,Denmark,0.888888889
260,Indonesia,Netherlands,0.885793872
261,Indonesia,Iceland,0.882681564
262,Indonesia,Norway,0.873239437
263,Indonesia,Portugal,0.843930636
264,Indonesia,Greece,0.870056497
265,Indonesia,Czech Republic,0.830409357
266,Indonesia,Slovakia,0.830409357
267,Indonesia,Hungary,0.826979472
268,Indonesia,Bulgaria,0.853448276
269,Indonesia,Cyprus,0.837209302
270,Indonesia,Romania,0.798798799
271,Indonesia,Estonia,0.850574713
272,Indonesia,Lithuania,0.84057971
273,Indonesia,Malta,0.805970149
274,Indonesia,Ireland,0.857142857
275,Indonesia,United Kingdom,0.863636364
276,Indonesia,Latvia,0.870056497
277,Indonesia,Belgium,0.857142857
278,Indonesia,Luxembourg,0.857142857
279,Indonesia,Switzerland,0.882681564
280,Indonesia,Austria,0.891966759
281,Indonesia,Germany,0.901098901
282,Indonesia,Spain,0.950131234
283,Indonesia,Brazil,0.938992042
284,Indonesia,Guatamala,0.947368421
285,Indonesia,Peru,0.96373057
286,Indonesia,Ecuador,0.955613577
287,Indonesia,Bolivia,0.938992042
288,Indonesia,Colombia,0.952879581
289,Indonesia,Paraguay,0.961038961
290,Indonesia,Chile,0.969072165
291,Indonesia,Uruguay,0.952879581
292,Indonesia,Argentina,0.936170213
293,Indonesia,Dominican Republic,0.947368421
294,Indonesia,Costa Rica,0.918918919
295,Indonesia,Nicaragua,0.910081744
296,Indonesia,Honduras,0.918918919
297,Indonesia,El Savador,0.913043478
298,Indonesia,Panama,0.924731183
299,Indonesia,Mexico,0.944591029
300,Indonesia,United States,0.86039886
301,Indonesia,Canada,0.830409357
302,Indonesia,Australia,0.816568047
303,Indonesia,New Zealand,0.820058997
304,Indonesia,South Africa,0.784194529
305,Viet Nam,Viet Nam,0
306,Viet Nam,Malaysia,0.606271777
307,Viet Nam,Singapore,0.586572438
308,Viet Nam,Hong Kong,0.709677419
309,Viet Nam,Taiwan,0.765432099
310,Viet Nam,India,0.780487805
311,Viet Nam,Israel,0.80952381
312,Viet Nam,France,0.941798942
313,Viet Nam,Italy,0.941798942
314,Viet Nam,Sweden,0.898071625
315,Viet Nam,Finland,0.885793872
316,Viet Nam,Poland,0.86039886
317,Viet Nam,Denmark,0.86039886
318,Viet Nam,Netherlands,0.866855524
319,Viet Nam,Iceland,0.86039886
320,Viet Nam,Norway,0.843930636
321,Viet Nam,Portugal,0.823529412
322,Viet Nam,Greece,0.837209302
323,Viet Nam,Czech Republic,0.787878788
324,Viet Nam,Slovakia,0.791540785
325,Viet Nam,Hungary,0.787878788
326,Viet Nam,Bulgaria,0.819526627
327,Viet Nam,Cyprus,0.798798799
328,Viet Nam,Romania,0.753894081
329,Viet Nam,Estonia,0.820058997
330,Viet Nam,Lithuania,0.805970149
331,Viet Nam,Malta,0.765432099
332,Viet Nam,Ireland,0.826979472
333,Viet Nam,United Kingdom,0.837209302
334,Viet Nam,Latvia,0.84057971
335,Viet Nam,Belgium,0.820058997
336,Viet Nam,Luxembourg,0.823529412
337,Viet Nam,Switzerland,0.863636364
338,Viet Nam,Austria,0.873239437
339,Viet Nam,Germany,0.888888889
340,Viet Nam,Spain,0.947368421
341,Viet Nam,Brazil,0.938992042
342,Viet Nam,Guatamala,0.947368421
343,Viet Nam,Peru,0.96373057
344,Viet Nam,Ecuador,0.955613577
345,Viet Nam,Bolivia,0.936170213
346,Viet Nam,Colombia,0.950131234
347,Viet Nam,Paraguay,0.961038961
348,Viet Nam,Chile,0.969072165
349,Viet Nam,Uruguay,0.952879581
350,Viet Nam,Argentina,0.936170213
351,Viet Nam,Dominican Republic,0.947368421
352,Viet Nam,Costa Rica,0.91598916
353,Viet Nam,Nicaragua,0.913043478
354,Viet Nam,Honduras,0.91598916
355,Viet Nam,El Savador,0.91598916
356,Viet Nam,Panama,0.921832884
357,Viet Nam,Mexico,0.944591029
358,Viet Nam,United States,0.833819242
359,Viet Nam,Canada,0.80239521
360,Viet Nam,Australia,0.780487805
361,Viet Nam,New Zealand,0.787878788
362,Viet Nam,South Africa,0.753894081
363,Malaysia,Malaysia,0
364,Malaysia,Singapore,0.406374502
365,Malaysia,Hong Kong,0.634812287
366,Malaysia,Taiwan,0.692810458
367,Malaysia,India,0.761609907
368,Malaysia,Israel,0.791540785
369,Malaysia,France,0.933333333
370,Malaysia,Italy,0.927613941
371,Malaysia,Sweden,0.870056497
372,Malaysia,Finland,0.863636364
373,Malaysia,Poland,0.853868195
374,Malaysia,Denmark,0.837209302
375,Malaysia,Netherlands,0.837209302
376,Malaysia,Iceland,0.837209302
377,Malaysia,Norway,0.80239521
378,Malaysia,Portugal,0.791540785
379,Malaysia,Greece,0.805970149
380,Malaysia,Czech Republic,0.757763975
381,Malaysia,Slovakia,0.746081505
382,Malaysia,Hungary,0.742138365
383,Malaysia,Bulgaria,0.783536585
384,Malaysia,Cyprus,0.75
385,Malaysia,Romania,0.709677419
386,Malaysia,Estonia,0.769230769
387,Malaysia,Lithuania,0.753894081
388,Malaysia,Malta,0.701298701
389,Malaysia,Ireland,0.784194529
390,Malaysia,United Kingdom,0.80952381
391,Malaysia,Latvia,0.795180723
392,Malaysia,Belgium,0.80239521
393,Malaysia,Luxembourg,0.784194529
394,Malaysia,Switzerland,0.830409357
395,Malaysia,Austria,0.833819242
396,Malaysia,Germany,0.86039886
397,Malaysia,Spain,0.944591029
398,Malaysia,Brazil,0.938992042
399,Malaysia,Guatamala,0.947368421
400,Malaysia,Peru,0.96373057
401,Malaysia,Ecuador,0.955613577
402,Malaysia,Bolivia,0.938992042
403,Malaysia,Colombia,0.952879581
404,Malaysia,Paraguay,0.961038961
405,Malaysia,Chile,0.969072165
406,Malaysia,Uruguay,0.952879581
407,Malaysia,Argentina,0.933333333
408,Malaysia,Dominican Republic,0.944591029
409,Malaysia,Costa Rica,0.913043478
410,Malaysia,Nicaragua,0.910081744
411,Malaysia,Honduras,0.918918919
412,Malaysia,El Savador,0.91598916
413,Malaysia,Panama,0.921832884
414,Malaysia,Mexico,0.944591029
415,Malaysia,United States,0.791540785
416,Malaysia,Canada,0.746081505
417,Malaysia,Australia,0.713826367
418,Malaysia,New Zealand,0.72611465
419,Malaysia,South Africa,0.679867987
420,Singapore,Singapore,0
421,Singapore,Hong Kong,0.507462687
422,Singapore,Taiwan,0.566308244
423,Singapore,India,0.757763975
424,Singapore,Israel,0.77675841
425,Singapore,France,0.927613941
426,Singapore,Italy,0.924731183
427,Singapore,Sweden,0.86039886
428,Singapore,Finland,0.857142857
429,Singapore,Poland,0.847262248
430,Singapore,Denmark,0.833819242
431,Singapore,Netherlands,0.830409357
432,Singapore,Iceland,0.837209302
433,Singapore,Norway,0.80239521
434,Singapore,Portugal,0.784194529
435,Singapore,Greece,0.798798799
436,Singapore,Czech Republic,0.742138365
437,Singapore,Slovakia,0.72611465
438,Singapore,Hungary,0.717948718
439,Singapore,Bulgaria,0.77607362
440,Singapore,Cyprus,0.742138365
441,Singapore,Romania,0.692810458
442,Singapore,Estonia,0.761609907
443,Singapore,Lithuania,0.746081505
444,Singapore,Malta,0.679867987
445,Singapore,Ireland,0.773006135
446,Singapore,United Kingdom,0.80239521
447,Singapore,Latvia,0.791540785
448,Singapore,Belgium,0.791540785
449,Singapore,Luxembourg,0.773006135
450,Singapore,Switzerland,0.823529412
451,Singapore,Austria,0.833819242
452,Singapore,Germany,0.857142857
453,Singapore,Spain,0.938992042
454,Singapore,Brazil,0.938992042
455,Singapore,Guatamala,0.941798942
456,Singapore,Peru,0.958333333
457,Singapore,Ecuador,0.950131234
458,Singapore,Bolivia,0.930481283
459,Singapore,Colombia,0.944591029
460,Singapore,Paraguay,0.955613577
461,Singapore,Chile,0.96373057
